scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 1, 38, 2, 0, 40, 1, 39, 2, 0, 41, 1, 39, 2, 0, 41, 1, 39, 2, 0, 42, 1, 39, 2, 0, 42, 1, 39, 2, 0, 42, 1, 39, 2, 0, 42, 1, 39, 2, 0, 42, 1, 40, 2, 0, 42, 1, 40, 2, 0, 42, 34, 40, 2, 0, 43, 1, 41, 2, 0, 43,42, 42
1, 1, 38, 2, 0, 40, 1, 38, 2, 0, 40, 1, 38, 2, 0, 40, 1, 38, 2, 0, 40, 1, 38, 2, 0, 40, 1, 38, 2, 0, 40, 1, 38, 2, 0, 40, 1, 38, 2, 0, 40, 1, 38, 2, 0, 40, 1, 38, 2, 0, 41, 1, 38, 2, 0, 41, 1, 39, 2, 0, 42,40, 40
8, 1, 14, 8, 0, 22, 1, 14, 8, 0, 23, 1, 14, 8, 0, 23, 1, 14, 8, 0, 23, 1, 14, 8, 0, 23, 1, 14, 8, 0, 23, 1, 14, 8, 0, 23, 1, 14, 8, 0, 23, 1, 14, 8, 0, 23, 1, 15, 8, 0, 23, 1, 14, 9, 0, 23, 1, 16, 8, 0, 24,23, 23
16, 1, 17, 5, 0, 22, 1, 17, 5, 0, 23, 1, 17, 5, 0, 23, 1, 17, 5, 0, 23, 1, 17, 5, 0, 23, 1, 18, 5, 0, 23, 1, 18, 5, 0, 23, 1, 18, 5, 0, 23, 1, 18, 5, 0, 23, 1, 18, 5, 0, 24, 1, 18, 5, 0, 24, 1, 18, 5, 0, 24,23, 23
32, 2, 31, 9, 0, 41, 2, 31, 9, 0, 41, 2, 32, 9, 0, 42, 2, 32, 9, 0, 42, 2, 33, 9, 0, 42, 2, 33, 9, 0, 43, 2, 33, 9, 0, 43, 2, 33, 9, 0, 43, 2, 33, 9, 0, 43, 2, 34, 9, 0, 43, 2, 34, 9, 0, 44, 2, 35, 9, 0, 44,43, 43
64, 4, 37, 13, 0, 51, 4, 37, 13, 0, 51, 4, 37, 13, 0, 51, 4, 38, 13, 0, 52, 4, 39, 13, 0, 53, 4, 39, 13, 0, 53, 4, 39, 13, 0, 53, 4, 39, 13, 0, 53, 4, 39, 13, 0, 53, 4, 40, 13, 0, 54, 4, 41, 13, 0, 54, 4, 41, 13, 0, 55,53, 53
128, 6, 55, 16, 0, 71, 6, 55, 16, 0, 71, 6, 55, 16, 0, 71, 6, 56, 16, 0, 72, 6, 57, 16, 0, 74, 6, 58, 16, 0, 75, 6, 60, 16, 0, 77, 6, 61, 16, 0, 78, 6, 63, 16, 0, 80, 6, 64, 16, 0, 80, 6, 64, 16, 0, 80, 6, 125, 16, 0, 142,76, 77
256, 13, 8, 23, 0, 31, 13, 9, 23, 0, 32, 13, 43, 22, 0, 66, 13, 57, 23, 0, 80, 12, 61, 23, 0, 84, 13, 79, 22, 0, 101, 13, 88, 22, 0, 111, 13, 96, 23, 0, 120, 13, 98, 23, 0, 122, 13, 100, 23, 0, 123, 13, 103, 23, 0, 126, 13, 125, 23, 0, 148,97, 111
512, 23, 125, 29, 0, 155, 26, 180, 29, 0, 210, 26, 185, 29, 0, 214, 26, 185, 29, 0, 215, 26, 186, 29, 0, 215, 26, 188, 29, 0, 218, 26, 194, 29, 0, 224, 26, 196, 29, 0, 226, 26, 198, 29, 0, 228, 26, 198, 29, 0, 228, 26, 203, 29, 0, 233, 26, 298, 30, 0, 328,221, 224
1024, 46, 40, 47, 0, 88, 45, 68, 47, 0, 115, 46, 70, 47, 0, 117, 46, 79, 47, 0, 126, 46, 82, 47, 0, 129, 46, 103, 47, 0, 150, 49, 273, 45, 0, 318, 45, 296, 45, 0, 342, 45, 312, 45, 0, 357, 45, 373, 45, 0, 419, 45, 393, 45, 0, 439, 51, 581, 42, 0, 623,251, 318
2048, 95, 413, 105, 0, 518, 95, 499, 105, 0, 604, 95, 499, 105, 0, 605, 95, 531, 105, 0, 636, 95, 531, 105, 0, 636, 95, 534, 105, 0, 640, 95, 577, 105, 0, 683, 95, 589, 105, 0, 694, 95, 596, 105, 0, 702, 95, 626, 105, 0, 732, 94, 643, 105, 0, 749, 90, 1210, 107, 0, 1317,668, 683
